fecha,salario_real
2015-12-01,1762702.919664963
2016-01-01,1692254.3702321965
2016-02-01,1637134.689017333
2016-03-01,1587391.4121113818
2016-04-01,1512387.641174218
2016-05-01,1451548.897909156
2016-06-01,1506895.9808716706
2016-07-01,1614611.2909475693
2016-08-01,1804149.9669967399
2016-09-01,1783636.7025781863
2016-10-01,1742504.5346394079
2016-11-01,1714761.7268728581
2016-12-01,1694490.206685646
2017-01-01,1668036.8109015578
2017-02-01,1634253.265570001
2017-03-01,1596352.8206814341
2017-04-01,1555053.2471715175
2017-05-01,1533057.698025828
2017-06-01,1590762.0690118338
2017-07-01,1638149.220319208
2017-08-01,1762274.1484093433
2017-09-01,1729448.4444357199
2017-10-01,1703642.8099244596
2017-11-01,1680534.072469313
2017-12-01,1629340.6142872984
2018-01-01,1601201.8357881608
2018-02-01,1563383.0657735856
2018-03-01,1542912.8163016548
2018-04-01,1516663.2219210109
2018-05-01,1500408.7247960323
2018-06-01,1504217.3439266216
2018-07-01,1543998.0622917905
2018-08-01,1567973.1415700344
2018-09-01,1471801.424767706
2018-10-01,1396507.2405153206
2018-11-01,1353816.465965001
2018-12-01,1319897.4322906146
2019-01-01,1338387.511779871
2019-02-01,1343560.2550060782
2019-03-01,1283498.4301510914
2019-04-01,1240758.0626133063
2019-05-01,1232813.572848784
2019-06-01,1248167.6727989032
2019-07-01,1303545.6764406534
2019-08-01,1333057.8352489406
2019-09-01,1258959.718099539
2019-10-01,1218818.1602694038
2019-11-01,1169079.2475068339
2019-12-01,1126929.5154594495
2020-01-01,1102100.3525370962
2020-02-01,1280574.0156338317
2020-03-01,1274205.1396249393
2020-04-01,1352141.5677472479
2020-05-01,1426853.6330591242
2020-06-01,1511567.6626245913
2020-07-01,1482885.7655462704
2020-08-01,1443898.9017263162
2020-09-01,1404085.7464437573
2020-10-01,1447915.1686189293
2020-11-01,1403566.6052415299
2020-12-01,1349511.0321117828
2021-01-01,1296995.3104191138
2021-02-01,1294790.328060893
2021-03-01,1296266.0456664292
2021-04-01,1369995.2792452127
2021-05-01,1401450.3913652918
2021-06-01,1383782.878613631
2021-07-01,1343517.2198475066
2021-08-01,1442254.1847852787
2021-09-01,1519484.8372618828
2021-10-01,1590181.5937551819
2021-11-01,1550950.84124162
2021-12-01,1493597.1540376823
2022-01-01,1486279.918173884
2022-02-01,1484378.8683235014
2022-03-01,1390795.0791627734
2022-04-01,1368686.440052262
2022-05-01,1380666.8842919513
2022-06-01,1530608.471208429
2022-07-01,1425065.3276961304
2022-08-01,1603239.9898486435
2022-09-01,1510132.47196112
2022-10-01,1542064.3035486885
2022-11-01,1572075.6995501583
2022-12-01,1495440.2523490565
2023-01-01,1497410.4514313838
2023-02-01,1544772.7132715664
2023-03-01,1538993.0936206738
2023-04-01,1481422.1440302203
2023-05-01,1450181.1158236722
2023-06-01,1607404.5927137367
2023-07-01,1677771.27391756
2023-08-01,1671184.2061853106
2023-09-01,1645250.8285436681
2023-10-01,1838154.8623720314
2023-11-01,1815201.3694725519
2023-12-01,1789229.0486281412
2024-01-01,1516652.4761350264
2024-02-01,1339317.7513512543
2024-03-01,1351264.3916859291
2024-04-01,1340935.060998534
2024-05-01,1377280.7727102377
2024-06-01,1343341.133492184
2024-07-01,1336485.2474283895
2024-08-01,1321445.5034233674
2024-09-01,1302682.7883238753
2024-10-01,1281221.8046200625
2024-11-01,1275886.0048699975
2024-12-01,1254716.0516326034
2025-01-01,1227573.8053922048
2025-02-01,1231367.1342212954
2025-03-01,1187096.331603315
2025-04-01,1185202.4181074135
2025-05-01,1182854.2864262946
2025-06-01,1179141.495187827
2025-07-01,1201858.7383737918
2025-08-01,1194688.695693705
2025-09-01,1178385.4694978916
2025-10-01,1163839.8324978505
2025-11-01,1148247.1793950326
2025-12-01,1116480.2793516135
2026-01-01,1106912.6019717883
2026-02-01,1075909.0
