fecha,salario_real
2015-12-01,2729751.465288676
2016-01-01,2620653.653685739
2016-02-01,2535294.3858908475
2016-03-01,2458261.1084693237
2016-04-01,2342109.0040314333
2016-05-01,2247893.1003068904
2016-06-01,2333472.746849807
2016-07-01,2500378.7932370612
2016-08-01,2793997.1828782405
2016-09-01,2762229.312110556
2016-10-01,2698529.972560681
2016-11-01,2655566.068138753
2016-12-01,2624172.574620022
2017-01-01,2583205.5183052197
2017-02-01,2530886.6245265957
2017-03-01,2472192.0934811733
2017-04-01,2408233.501262333
2017-05-01,2374170.0899755107
2017-06-01,2463439.8875792
2017-07-01,2536829.2771010255
2017-08-01,2729203.7048653443
2017-09-01,2678367.1009348547
2017-10-01,2638402.3580041914
2017-11-01,2602614.253222496
2017-12-01,2523331.8238335536
2018-01-01,2479753.7808828866
2018-02-01,2421184.5013355515
2018-03-01,2389462.4773272574
2018-04-01,2348712.8128312924
2018-05-01,2323522.9740767204
2018-06-01,2261578.7913876106
2018-07-01,2259344.8431156436
2018-08-01,2301503.5923639974
2018-09-01,2279246.6890317034
2018-10-01,2162645.3477959596
2018-11-01,2096533.9791638963
2018-12-01,2044006.6178660213
2019-01-01,2072613.5213872425
2019-02-01,2080653.4737301823
2019-03-01,1987641.01369538
2019-04-01,1921452.7695473013
2019-05-01,1909160.6558752544
2019-06-01,1932980.7541530067
2019-07-01,2018715.658733755
2019-08-01,2064395.3167571386
2019-09-01,1949645.752275429
2019-10-01,1887481.8747596482
2019-11-01,1810455.3753441398
2019-12-01,1745123.0744497487
2020-01-01,1778973.8988095443
2020-02-01,1814768.5352560822
2020-03-01,1756055.3744459597
2020-04-01,1730162.2405758747
2020-05-01,1703875.928943928
2020-06-01,1666487.62646223
2020-07-01,1634866.1332493548
2020-08-01,1591883.5213841936
2020-09-01,1547989.9317756405
2020-10-01,1596313.8884045556
2020-11-01,1547419.9827500843
2020-12-01,1636603.825279055
2021-01-01,1572915.9939354185
2021-02-01,1570230.4941464677
2021-03-01,1572016.6053344484
2021-04-01,1661431.8838194492
2021-05-01,1699581.7237032864
2021-06-01,1812014.3457554376
2021-07-01,1759287.9011280776
2021-08-01,1857370.336439989
2021-09-01,1959565.6256522757
2021-10-01,1965809.4902075168
2021-11-01,1917311.7677448734
2021-12-01,2031056.700101781
2022-01-01,2021109.7937792903
2022-02-01,2018516.4532858767
2022-03-01,1891257.555835312
2022-04-01,1861186.4277992186
2022-05-01,1877498.1478480874
2022-06-01,2068365.3635262507
2022-07-01,1925741.1807225537
2022-08-01,2166519.2352901744
2022-09-01,2040699.5016690793
2022-10-01,2083849.852178542
2022-11-01,2117220.495949223
2022-12-01,2014010.364543442
2023-01-01,2017053.6002105484
2023-02-01,2080841.2502597559
2023-03-01,2073065.450839567
2023-04-01,1995512.5567687124
2023-05-01,1953432.948947864
2023-06-01,2157148.844499943
2023-07-01,2251573.0682958774
2023-08-01,2242730.38905686
2023-09-01,2207927.5786721976
2023-10-01,2466802.2717310716
2023-11-01,2405344.2974188644
2023-12-01,2089673.6227463547
2024-01-01,2009732.6483888614
2024-02-01,1987712.6642198137
2024-03-01,1933821.0660333766
2024-04-01,1812427.009834649
2024-05-01,1861551.4879280627
2024-06-01,1780076.2278953544
2024-07-01,1770991.7469993255
2024-08-01,1751062.4067214574
2024-09-01,1726198.1551702518
2024-10-01,1697760.7885182162
2024-11-01,1690690.9958155276
2024-12-01,1662637.5553490787
2025-01-01,1651070.768343131
2025-02-01,1631696.414280453
2025-03-01,1593482.1486841647
2025-04-01,1570524.597006092
2025-05-01,1567412.48575483
2025-06-01,1562493.2559692883
2025-07-01,1553266.8699196097
2025-08-01,1544487.0665993495
2025-09-01,1531232.575960639
2025-10-01,1512650.6627796725
2025-11-01,1492383.982611213
2025-12-01,1451096.3455477476
2026-01-01,1438661.5852910255
2026-02-01,1398366.0
