fecha,salario_real
2023-10-01,1280591.8138848997
2023-11-01,1247886.655775787
2023-12-01,1103621.026599572
2024-01-01,1038551.1287757193
2024-02-01,1027601.5419069272
2024-03-01,1055980.0384895324
2024-04-01,1047444.0206016848
2024-05-01,1005453.0063503787
2024-06-01,1048825.58064976
2024-07-01,1008186.2609473948
2024-08-01,1008902.5015588716
2024-09-01,994817.0959052487
2024-10-01,1009347.0720058652
2024-11-01,1004726.6417491457
2024-12-01,980544.1154387102
2025-01-01,983656.855319505
2025-02-01,989241.4183665286
2025-03-01,953675.6554377244
2025-04-01,951409.543572291
2025-05-01,953702.1683620716
2025-06-01,938508.4219987309
2025-07-01,964116.3829021098
2025-08-01,958318.8742138264
2025-09-01,945348.3303182384
2025-10-01,885787.1336732407
2025-11-01,873692.5004247433
2025-12-01,849521.3090404102
2026-01-01,842241.0
